Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Dengue in Cebu City, Philippines: A Pilot Study of Predictive Models and Visualizations for Public Health.","Snyder, Johnny; Maglasang, Gibson","Dengue is a global health issue, particularly in the tropical and subtropical regions of the world. Prevention is the most appropriate method to fight the spread of the virus. The objective of this research is to present a model, along with visualizations, that will enable health officials and community leaders to identify when and where potential dengue outbreaks are likely to occur. Armed with this information, local resources can be adequately deployed in an effort to use limited supplies effectively. A mathematical model that uses easily obtainable data, along with visualizations for the 80 barangays of Cebu City, Philippines, is presented. Visualizations are constructed appropriate for a generalist audience to comprehend and use for dengue mitigation. Results of this study include a model that uses readily available data to predict dengue outbreaks one month in advance and visualizations appropriate for decision-makers in public health. Additional items are identified that could enhance the explanatory power of the model, and future directions are discussed.",2024,,The American journal of tropical medicine and hygiene,110,1,179-187,,10.4269/ajtmh.23-0250,,#220,Snyder 2024,Exclusion reason: Not a mathematical model; ,""
"The association between intolerance of uncertainty and depressive symptoms during COVID-19 in New York, USA.","Rafieian, Mojdeh; Skokauskas, Norbert; Cheslack-Postava, Keely; Hoven, Christina W","BACKGROUND: Coronavirus Disease 2019 (COVID-19), a highly contagious respiratory illnesses, has globally impacted mental health. This study aims to investigate the association between intolerance of uncertainty and depressive symptoms during the pandemic in New York, USA, considering COVID-19-related worries as modifiers and mediators., METHOD: 1227 participants from three ongoing cohort studies, originally centered on trauma-exposed children and adolescents, provided data via questionnaires and telephone interviews across three waves. We used multivariable logistic and linear regression models to investigate the intolerance of uncertainty-depressive symptoms relationship, while adjusting for potential confounders and assessing the modification and mediation effects of Covid-19 related worries., RESULTS: Depressive symptoms prevalence was 18 %, 12 %, and 9 % at waves 0, 1, and 2 respectively. Strong positive associations were observed between intolerance of uncertainty above the median and depressive symptoms which remained significant after adjusting for potential confounders. Odds ratios were 2.14 (95 % CI: 1.54-2.99) and 4.50 (95 % CI: 2.67-7.93) for intolerance of uncertainty-depressive symptoms association at wave 0 and 1 respectively, and 3.22 (95 % CI: 1.68-6.63) for intolerance of uncertainty at wave 1 and depressive symptoms at wave 2. There was evidence of partial mediation by worries (12-37 %), but no evidence of a moderating effect., LIMITATION: It includes study's methodology, including self-report measures, remote data collection, and uncontrolled variables like anxiety and COVID-19 perspectives., CONCLUSION: The findings emphasize the importance of evidence-based strategies for tackling intolerance of uncertainty during pandemics, particularly in managing long COVID. Collaborative efforts between policymakers and clinicians are essential in this endeavor. Copyright © 2024 The Authors. Published by Elsevier B.V. All rights reserved.",2024,,Journal of affective disorders,356,"h3v, 7906073",628-638,,10.1016/j.jad.2024.04.037,,#222,Rafieian 2024,Exclusion reason: Irrelevant study; ,""
Disease X epidemic control using a stochastic model and a deterministic approximation: Performance comparison with and without parameter uncertainties.,"Flaig, Julien; Houy, Nicolas","BACKGROUND: The spread of infectious diseases can be modeled using deterministic or stochastic models. A deterministic approximation of a stochastic model can be appropriate under some conditions, but is unable to capture the discrete nature of populations. We look into the choice of a model from the perspective of decision making., METHOD: We consider an emerging disease (Disease X) in a closed population modeled by a stochastic SIR model or its deterministic approximation. The objective of the decision maker is to minimize the cumulative number of symptomatic infected-days over the course of the epidemic by picking a vaccination policy. We consider four decision making scenarios: based on the stochastic model or the deterministic model, and with or without parameter uncertainty. We also consider different sample sizes for uncertain parameter draws and stochastic model runs. We estimate the average performance of decision making in each scenario and for each sample size., RESULTS: The model used for decision making has an influence on the picked policies. The best achievable performance is obtained with the stochastic model, knowing parameter values, and for a large sample size. For small sample sizes, the deterministic model can outperform the stochastic model due to stochastic effects. Resolving uncertainties may bring more benefit than switching to the stochastic model in our example., CONCLUSION: This article illustrates the interplay between the choice of a type of model, parameter uncertainties, and sample sizes. It points to issues to be considered when optimizing a stochastic model. Copyright © 2024 Elsevier B.V. All rights reserved.",2024,,Computer methods and programs in biomedicine,249,"doh, 8506513",108136,,10.1016/j.cmpb.2024.108136,,#223,Flaig 2024,Exclusion reason: Not an infectious disease; ,""
Source code and secondary data of the stochastic process based COVID-19 simulation model.,"Manathunga, S S; Abeyagunawardena, I A; Dharmaratne, S D","The novel coronavirus disease (COVID-19) culminated in a pandemic with many countries affected in varying stages. We aimed to develop a simulation environment for COVID-19 spread, taking environmental and social factors into account. This program consists of three main components; a stochastic process-based model for simulating epidemics, a basic reproduction number estimation unit and a graphics generator. The model can take a variety of environmental factors as input and simulate expected behaviours of the infection spread, enabling policymakers and the scientific community to test the effects of different mitigation strategies in a sandbox. Copyright © 2022 The Author(s).",2022,,Software impacts,12,101779103,100284,,10.1016/j.simpa.2022.100284,,#240,Manathunga 2022,Exclusion reason: No knowledge user participation; ,""
Socio-demographic and health factors drive the epidemic progression and should guide vaccination strategies for best COVID-19 containment.,"Markovic, Rene; Sterk, Marko; Marhl, Marko; Perc, Matjaz; Gosak, Marko","We propose and study an epidemiological model on a social network that takes into account heterogeneity of the population and different vaccination strategies. In particular, we study how the COVID-19 epidemics evolves and how it is contained by different vaccination scenarios by taking into account data showing that older people, as well as individuals with comorbidities and poor metabolic health, and people coming from economically depressed areas with lower quality of life in general, are more likely to develop severe COVID-19 symptoms, and quicker loss of immunity and are therefore more prone to reinfection. Our results reveal that the structure and the spatial arrangement of subpopulations are important epidemiological determinants. In a healthier society the disease spreads more rapidly but the consequences are less disastrous as in a society with more prevalent chronic comorbidities. If individuals with poor health are segregated within one community, the epidemic outcome is less favorable. Moreover, we show that, contrary to currently widely adopted vaccination policies, prioritizing elderly and other higher-risk groups is beneficial only if the supply of vaccine is high. If, however, the vaccination availability is limited, and if the demographic distribution across the social network is homogeneous, better epidemic outcomes are achieved if healthy people are vaccinated first. Only when higher-risk groups are segregated, like in elderly homes, their prioritization will lead to lower COVID-19 related deaths. Accordingly, young and healthy individuals should view vaccine uptake as not only protecting them, but perhaps even more so protecting the more vulnerable socio-demographic groups. Copyright © 2021 The Author(s).",2021,,Results in physics,26,101731363,104433,,10.1016/j.rinp.2021.104433,,#242,Markovic 2021,Exclusion reason: No specific population; ,""
Socioeconomic determinants of COVID-19 in Asian countries: An empirical analysis.,"Varkey, Rittu S; Joy, Justin; Sarmah, Gargee; Panda, Prasant K","The spread of coronavirus disease, 2019, has affected several countries in the world including Asian countries. The occurrences of COVID infections are uneven across countries and the same is determined by socioeconomic situations prevailing in the countries besides the preparedness and management. The paper is an attempt to empirically examine the socioeconomic determinants of the occurrence of COVID in Asian countries considering the data as of June 18, 2020, for 42 Asian countries. A multiple regression analysis in a cross-sectional framework is specified and ordinary least square (OLS) technique with heteroscedasticity corrected robust standard error is employed to obtain regression coefficients. Explanatory variables that are highly collinear have been dropped from the analysis. The findings of the study show a positive significant association of per capita gross national income and net migration with the incidence of total COVID-19 cases and daily new cases. The size of net migration emerged to be a potential factor and positive in determining the total and new cases of COVID. Social capital as measured by voters' turnout ratio (VTR) in order to indicate the people's participation is found to be significant and negative for daily new cases per million population. People's participation has played a very important role in checking the incidence of COVID cases and its spread. In alternate models, countries having high incidence of poverty are also having higher cases of COVID. Though the countries having higher percentage of aged populations are more prone to be affected by the spread of virus, but the sign of the coefficient of this variable for Asian country is not in the expected line. Previous year health expenditure and diabetic prevalence rate are not significant in the analysis. Therefore, people-centric plan and making people more participatory and responsive in adhering to the social distancing norms in public and workplace and adopting preventive measures need to be focused on COVID management strategies. The countries having larger net migration and poverty ratio need to evolve comprehensive and inclusive strategies for testing, tracing, and massive awareness for sanitary practices, social distancing, and following government regulation for management of COVID-19, besides appropriate food security measures and free provision of sanitary kits for vulnerable section. Copyright © 2020 John Wiley & Sons Ltd.",2021,,Journal of public affairs,21,4,e2532,,10.1002/pa.2532,,#244,Varkey 2021,Exclusion reason: Not a mathematical model; ,""
A SEIARQ model combine with Logistic to predict COVID-19 within small-world networks.,"Liu, Qinghua; Yuan, Siyu; Wang, Xinsheng","Since the COVID-19 epidemic, mathematical and simulation models have been extensively utilized to forecast the virus's progress. In order to more accurately describe the actual circumstance surrounding the asymptomatic transmission of COVID-19 in urban areas, this research proposes a model called Susceptible-Exposure-Infected-Asymptomatic-Recovered-Quarantine in a small-world network. In addition, we coupled the epidemic model with the Logistic growth model to simplify the process of setting model parameters. The model was assessed through experiments and comparisons. Simulation results were analyzed to explore the main factors affecting the spread of the epidemic, and statistical analysis that was applied to assess the model's accuracy. The results are consistent well with epidemic data from Shanghai, China in 2022. The model can not only replicate the real virus transmission data, but also anticipate the development trend of the epidemic based on available data, so that health policy-makers can better understand the spread of the epidemic.",2023,,Mathematical biosciences and engineering : MBE,20,2,4006-4017,,10.3934/mbe.2023187,,#245,Liu 2023,Exclusion reason: No knowledge user participation; ,""
Targeted preventive vaccination campaigns to reduce Ebola outbreaks: An individual-based modeling study.,"Bisanzio, Donal; Davis, Ashley E; Talbird, Sandra E; Van Effelterre, Thierry; Metz, Laurent; Gaudig, Maren; Mathieu, Valerie Oriol; Brogan, Anita J","INTRODUCTION: Nonpharmaceutical interventions (NPI) and ring vaccination (i.e., vaccination that primarily targets contacts and contacts of contacts of Ebola cases) are currently used to reduce the spread of Ebola during outbreaks. Because these measures are typically initiated after an outbreak is declared, they are limited by real-time implementation challenges. Preventive vaccination may provide a complementary option to help protect communities against unpredictable outbreaks. This study aimed to assess the impact of preventive vaccination strategies when implemented in conjunction with NPI and ring vaccination., METHODS: A spatial-explicit, individual-based model (IBM) that accounts for heterogeneity of human contact, human movement, and timing of interventions was built to represent Ebola transmission in the Democratic Republic of the Congo. Simulated preventive vaccination strategies targeted healthcare workers (HCW), frontline workers (FW), and the general population (GP) with varying levels of coverage (lower coverage: 30% of HCW/FW, 5% of GP; higher coverage: 60% of HCW/FW, 10% of GP) and efficacy (lower efficacy: 60%; higher efficacy: 90%)., RESULTS: The IBM estimated that the addition of preventive vaccination for HCW reduced cases, hospitalizations, and deaths by ~11 % to ~25 % compared with NPI + ring vaccination alone. Including HCW and FW in the preventive vaccination campaign yielded ~14 % to ~38 % improvements in epidemic outcomes. Further including the GP yielded the greatest improvements, with ~21 % to ~52 % reductions in epidemic outcomes compared with NPI + ring vaccination alone. In a scenario without ring vaccination, preventive vaccination reduced cases, hospitalizations, and deaths by ~28 % to ~59 % compared with NPI alone. In all scenarios, preventive vaccination reduced Ebola transmission particularly during the initial phases of the epidemic, resulting in flatter epidemic curves., CONCLUSIONS: The IBM showed that preventive vaccination may reduce Ebola cases, hospitalizations, and deaths, thus safeguarding the healthcare system and providing more time to implement additional interventions during an outbreak. Copyright © 2022 Elsevier Ltd. All rights reserved.",2023,,Vaccine,41,3,684-693,,10.1016/j.vaccine.2022.11.036,,#247,Bisanzio 2023,Exclusion reason: No knowledge user participation; ,""
Impact of implementation timing on the effectiveness of stay-at-home requirement under the COVID-19 pandemic: Lessons from the Italian Case.,"Mingolla, Stefano; Lu, Zhongming","When a new infectious outbreak emerges, governments must initially rely on non-pharmaceutical interventions (NPIs) to mitigate the impact of the pathogen. Although a strict stay-at-home requirement (i.e., lockdown) presents high effectiveness in reducing patients hospitalized in intensive care units (ICUs), it comes with unintended physical, psychological, and economic damages for the citizens. Using how Italy managed the COVID-19 outbreak from February to September 2020 on a national basis, this study aims at understanding the impact of implementation timing on the effectiveness of NPIs. Our findings may be helpful to avoid the implementation of stay-at-home requirements when it is not strictly necessary. A compartmental SEICRD model was developed to create the baseline scenario without NPIs. Generalized Poisson regressions were applied to study the change in effectiveness over-time of NPIs on Avoided ICUs for each one of the Italian regions. Our study suggests that although the stay-at-home requirement is the most effective measure in reducing ICU hospitalizations in regions encountering the outbreak early, its effectiveness decreases in regions encountering the outbreak later, where a set of other NPIs are more effective. We developed a reference of daily new cases when lockdown should be implemented or avoided, accordingly. Our findings could be useful to support policymakers in contrasting the pandemic and in limiting the societal and economic impact of stringent NPIs. Copyright © 2022 Elsevier B.V. All rights reserved.",2022,,"Health policy (Amsterdam, Netherlands)",126,6,504-511,,10.1016/j.healthpol.2022.04.001,,#256,Mingolla 2022,Exclusion reason: No knowledge user participation; ,""
"The role of prison-based interventions for hepatitis C virus (HCV) micro-elimination among people who inject drugs in Montreal, Canada.","Godin, Arnaud; Kronfli, Nadine; Cox, Joseph; Alary, Michel; Maheu-Giroux, Mathieu","BACKGROUND: In Canada, hepatitis C virus (HCV) transmission primarily occurs among people who inject drugs (PWID) and people with experience in the prison system bare a disproportionate disease burden. These overlapping groups of individuals have been identified as priority populations for HCV micro-elimination in Canada, which is currently not on track to achieve its elimination targets. Considering the missed opportunities to intervene in provincial prisons, this study aims to estimate the population-level impact of prison-based interventions and post-release risk reduction strategies on HCV transmission among PWID in Montreal, a Canadian city with high HCV burden., METHODS: A dynamic HCV transmission model among PWID was developed and calibrated to community and prison bio-behavioural surveys in Montreal. Then, the relative impact of prison-based testing and treatment or post-release linkage to care (both 90% testing and 75% treatment coverage), alone or in combination with strategies that reduce the heightened post-release transmission risk by 50%, was estimated from 2018 to 2030, and compared to counterfactual scenarios., RESULTS: Prison-based test-and-treat strategies could lead to the greatest declines in incidence (48%; 95%CrI: 38-57%) over 2018-2030 and prevent the most new first chronic infections (22%; 95%CrI: 16-28%) among people never exposed to HCV. Prison testing and post-release linkage to care lead to a slightly lower decrease in incidence and prevented fraction of new chronic infections. Combining test-and-treat with risk reduction measures could further its epidemiological impact, preventing 35% (95%CrI: 29-40%) of new first chronic infections. When implemented concomitantly with community-based treatment scale-up, prison-based interventions had synergistic effects, averting a higher fraction of new first chronic infections., CONCLUSION: Offering HCV testing and treatment in provincial prisons, where incarcerations are frequent and sentences short, could change the course of the HCV epidemic in Montreal. Prison-based interventions with potential integration of post-release risk reduction measures should be considered as an integral part of HCV micro-elimination strategies in this setting. Copyright © 2020 Elsevier B.V. All rights reserved.",2021,,The International journal on drug policy,88,9014759,102738,,10.1016/j.drugpo.2020.102738,,#270,Godin 2021,Exclusion reason: No knowledge user participation; ,""
