Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Revealing the extent of the first wave of the COVID-19 pandemic in Kenya based on serological and PCR-test data.,"Ojal, John; Brand, Samuel P C; Were, Vincent; Okiro, Emelda A; Kombe, Ivy K; Mburu, Caroline; Aziza, Rabia; Ogero, Morris; Agweyu, Ambrose; Warimwe, George M; Uyoga, Sophie; Adetifa, Ifedayo M O; Scott, J Anthony G; Otieno, Edward; Ochola-Oyier, Lynette I; Agoti, Charles N; Kasera, Kadondi; Amoth, Patrick; Mwangangi, Mercy; Aman, Rashid; Ng'ang'a, Wangari; Tsofa, Benjamin; Bejon, Philip; Barasa, Edwine; Keeling, Matt J; Nokes, D James","Policymakers in Africa need robust estimates of the current and future spread of SARS-CoV-2. We used national surveillance PCR test, serological survey and mobility data to develop and fit a county-specific transmission model for Kenya up to the end of September 2020, which encompasses the first wave of SARS-CoV-2 transmission in the country. We estimate that the first wave of the SARS-CoV-2 pandemic peaked before the end of July 2020 in the major urban counties, with 30-50% of residents infected. Our analysis suggests, first, that the reported low COVID-19 disease burden in Kenya cannot be explained solely by limited spread of the virus, and second, that a 30-50% attack rate was not sufficient to avoid a further wave of transmission. Copyright: © 2022 Ojal J et al.",2021,,Wellcome open research,6,101696457,127,,10.12688/wellcomeopenres.16748.3,,#211,Ojal 2021,"",""
COVID-19 transmission in a resource dependent community with heterogeneous populations: An agent-based modeling approach.,"Wood, Aaron D; Berry, Kevin","Outbreaks of COVID-19 in crowded work locations led to mass infection events during the pandemic that stressed health capacity in rural communities. This led to disparate responses - either isolating and restricting workers to facilities and potentially amplifying spread between them, more intense community wide restrictions, or an acceptance of higher disease spread. An extreme case is the salmon fishery in Bristol Bay, Alaska, where fishermen, factory workers, and residents all interact during the summer fishing season. During the pandemic, policy measures were debated, including community mask mandates, restricting workers to their boats and factories, and even closing the valuable seasonal fishery. We develop an agent-based SIR model (ABM) to examine COVID-19 transmission in a resource-dependent community populated by distinct subgroups. The model includes a virus spreading within and between three heterogenous populations who interact with other members of their type in their home location, and with different types of agents when out in the community. We simulate various non-pharmaceutical interventions and vaccination rates across these groups. Results demonstrate the efficacy of non-pharmaceutical interventions and vaccinations, as well as tradeoffs between duration and intensity and tradeoffs between groups impacted by the outbreak. This ABM demonstrates the impact of public policy mechanisms on health outcomes in resource-dependent communities with distinct populations. Copyright © 2023 Elsevier B.V. All rights reserved.",2024,,Economics and human biology,52,101166135,101314,,10.1016/j.ehb.2023.101314,,#226,Wood 2024,Nancy Tahmo (2025-05-05 14:08:56)(Select): Page 3-4; fishermen; ,""
Novel multi-cluster workflow system to support real-time HPC-enabled epidemic science: Investigating the impact of vaccine acceptance on COVID-19 spread.,"Bhattacharya, Parantapa; Machi, Dustin; Chen, Jiangzhuo; Hoops, Stefan; Lewis, Bryan; Mortveit, Henning; Venkatramanan, Srinivasan; Wilson, Mandy L; Marathe, Achla; Porebski, Przemyslaw; Klahn, Brian; Outten, Joseph; Vullikanti, Anil; Xie, Dawen; Adiga, Abhijin; Brown, Shawn; Barrett, Christopher; Marathe, Madhav","We present MacKenzie, a HPC-driven multi-cluster workflow system that was used repeatedly to configure and execute fine-grained US national-scale epidemic simulation models during the COVID-19 pandemic. Mackenzie supported federal and Virginia policymakers, in real-time, for a large number of ""what-if"" scenarios during the COVID-19 pandemic, and continues to be used to answer related questions as COVID-19 transitions to the endemic stage of the disease. MacKenzie is a novel HPC meta-scheduler that can execute US-scale simulation models and associated workflows that typically present significant big data challenges. The meta-scheduler optimizes the total execution time of simulations in the workflow, and helps improve overall human productivity. As an exemplar of the kind of studies that can be conducted using Mackenzie, we present a modeling study to understand the impact of vaccine-acceptance in controlling the spread of COVID-19 in the US. We use a 288 million node synthetic social contact network (digital twin) spanning all 50 US states plus Washington DC, comprised of 3300 counties, with 12 billion daily interactions. The highly-resolved agent-based model used for the epidemic simulations uses realistic information about disease progression, vaccine uptake, production schedules, acceptance trends, prevalence, and social distancing guidelines. Computational experiments show that, for the simulation workload discussed above, MacKenzie is able to scale up well to 10K CPU cores. Our modeling results show that, when compared to faster and accelerating vaccinations, slower vaccination rates due to vaccine hesitancy cause averted infections to drop from 6.7M to 4.5M, and averted total deaths to drop from 39.4K to 28.2K across the US. This occurs despite the fact that the final vaccine coverage is the same in both scenarios. We also find that if vaccine acceptance could be increased by 10% in all states, averted infections could be increased from 4.5M to 4.7M (a 4.4% improvement) and total averted deaths could be increased from 28.2K to 29.9K (a 6% improvement) nationwide.",2024,,Journal of parallel and distributed computing,191,101204404,,,10.1016/j.jpdc.2024.104899,,#228,Bhattacharya 2024,"",""
"Risk assessment for precise intervention of COVID-19 epidemic based on available big data and spatio-temporal simulation method: Empirical evidence from different public places in Guangzhou, China.","Zhou, Shuli; Zhou, Suhong; Zheng, Zhong; Lu, Junwen; Song, Tie","Risk assessment of the intra-city spatio-temporal spreading of COVID-19 is important for providing location-based precise intervention measures, especially when the epidemic occurred in the densely populated and high mobile public places. The individual-based simulation has been proven to be an effective method for the risk assessment. However, the acquisition of individual-level mobility data is limited. This study used publicly available datasets to approximate dynamic intra-city travel flows by a spatio-temporal gravity model. On this basis, an individual-based epidemic model integrating agent-based model with the susceptible-exposed-infectious-removed (SEIR) model was proposed and the intra-city spatio-temporal spreading process of COVID-19 in eleven public places in Guangzhou China were explored. The results indicated that the accuracy of dynamic intra-city travel flows estimated by available big data and gravity model is acceptable. The spatio-temporal simulation method well presented the process of COVID-19 epidemic. Four kinds of spatial-temporal transmission patterns were identified and the pattern was highly dependent on the urban spatial structure and location. It indicated that location-based precise intervention measures should be implemented according to different regions. The approach of this research can be used by policy-makers to make rapid and accurate risk assessments and to implement intervention measures ahead of epidemic outbreaks. Copyright © 2022 The Authors.",2022,,"Applied geography (Sevenoaks, England)",143,101085119,102702,,10.1016/j.apgeog.2022.102702,,#239,Zhou 2022,"",""
Projected outcomes of universal testing and treatment in a generalised HIV epidemic in Zambia and South Africa (the HPTN 071 [PopART] trial): a modelling study.,"Probert, William J M; Sauter, Rafael; Pickles, Michael; Cori, Anne; Bell-Mandla, Nomtha F; Bwalya, Justin; Abeler-Dorner, Lucie; Bock, Peter; Donnell, Deborah J; Floyd, Sian; Macleod, David; Piwowar-Manning, Estelle; Skalland, Timothy; Shanaube, Kwame; Wilson, Ethan; Yang, Blia; Ayles, Helen; Fidler, Sarah; Hayes, Richard J; Fraser, Christophe","BACKGROUND: The long-term impact of universal home-based testing and treatment as part of universal testing and treatment (UTT) on HIV incidence is unknown. We made projections using a detailed individual-based model of the effect of the intervention delivered in the HPTN 071 (PopART) cluster-randomised trial., METHODS: In this modelling study, we fitted an individual-based model to the HIV epidemic and HIV care cascade in 21 high prevalence communities in Zambia and South Africa that were part of the PopART cluster-randomised trial (intervention period Nov 1, 2013, to Dec 31, 2017). The model represents coverage of home-based testing and counselling by age and sex, delivered as part of the trial, antiretroviral therapy (ART) uptake, and any changes in national guidelines on ART eligibility. In PopART, communities were randomly assigned to one of three arms: arm A received the full PopART intervention for all individuals who tested positive for HIV, arm B received the intervention with ART provided in accordance with national guidelines, and arm C received standard of care. We fitted the model to trial data twice using Approximate Bayesian Computation, once before data unblinding and then again after data unblinding. We compared projections of intervention impact with observed effects, and for four different scenarios of UTT up to Jan 1, 2030 in the study communities., FINDINGS: Compared with standard of care, a 51% (95% credible interval 40-60) reduction in HIV incidence is projected if the trial intervention (arms A and B combined) is continued from 2020 to 2030, over and above a declining trend in HIV incidence under standard of care., INTERPRETATION: A widespread and continued commitment to UTT via home-based testing and counselling can have a substantial effect on HIV incidence in high prevalence communities., FUNDING: National Institute of Allergy and Infectious Diseases, US President's Emergency Plan for AIDS Relief, International Initiative for Impact Evaluation, Bill & Melinda Gates Foundation, National Institute on Drug Abuse, and National Institute of Mental Health. Copyright © 2022 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license. Published by Elsevier Ltd.. All rights reserved.",2022,,The lancet. HIV,9,11,e771-e780,,10.1016/S2352-3018(22)00259-4,,#252,Probert 2022,"",""
The cost-effectiveness of social distancing measures for mitigating the COVID-19 pandemic in a highly-populated country: A case study in Indonesia.,"Suwantika, Auliya A; Dhamanti, Inge; Suharto, Yulianto; Purba, Fredrick D; Abdulah, Rizky","BACKGROUND: As one of the strategies to mitigate the COVID-19 pandemic, social distancing (SD) measures are recommended to control disease spread and reduce the attack rate. Therefore, this study aims to estimate the costs and effects of SD measures through school closures, workforce, and community contact reductions for mitigating the COVID-19 pandemic in Indonesia., METHODS: Two mitigation scenarios of SD for 1 month and continuous SD were compared with the baseline (no intervention). A modified Susceptible-Exposed-Infected-Recovered (SEIR) compartmental model accounting for disease spread during the latent period was applied by considering a 1-year time horizon. The costs of healthcare, school closures, and productivity loss due to disease as well as intervention were considered to estimate the total pandemic cost among all scenarios., RESULTS: In a comparison with the baseline, the result showed that total savings in scenarios of SD for 1 month and continuous SD was approximately $415 billion and $699 billion, respectively, while the averted deaths were 4.6 million and 8.5 million, respectively. Sensitivity analysis showed that basic reproduction number, infectious period, daily wage, incubation period, daily ICU admission cost, and case fatality rate were the most influential parameters affecting the savings and the number of averted deaths., CONCLUSIONS: SD measures through school closures, workforce, and community contact reductions were concluded to be cost-saving. Increasing the duration of social distancing tends to increase both the savings and the number of averted deaths. Copyright © 2021 Elsevier Ltd. All rights reserved.",2022,,Travel medicine and infectious disease,45,101230758,102245,,10.1016/j.tmaid.2021.102245,,#258,Suwantika 2022,Nancy Tahmo (2025-05-08 04:15:16)(Select): Funding; ,""
A participatory modelling approach for investigating the spread of COVID-19 in countries of the Eastern Mediterranean Region to support public health decision-making.,"Adib, Keyrellous; Hancock, Penelope A; Rahimli, Aysel; Mugisa, Bridget; Abdulrazeq, Fayez; Aguas, Ricardo; White, Lisa J; Hajjeh, Rana; Al Ariqi, Lubna; Nabeth, Pierre","Early on in the COVID-19 pandemic, the WHO Eastern Mediterranean Regional Office recognised the importance of epidemiological modelling to forecast the progression of the COVID-19 pandemic to support decisions guiding the implementation of response measures. We established a modelling support team to facilitate the application of epidemiological modelling analyses in the Eastern Mediterranean Region (EMR) countries. Here, we present an innovative, stepwise approach to participatory modelling of the COVID-19 pandemic that engaged decision-makers and public health professionals from countries throughout all stages of the modelling process. Our approach consisted of first identifying the relevant policy questions, collecting country-specific data and interpreting model findings from a decision-maker's perspective, as well as communicating model uncertainty. We used a simple modelling methodology that was adaptable to the shortage of epidemiological data, and the limited modelling capacity, in our region. We discuss the benefits of using models to produce rapid decision-making guidance for COVID-19 control in the WHO EMR, as well as challenges that we have experienced regarding conveying uncertainty associated with model results, synthesising and comparing results across multiple modelling approaches, and modelling fragile and conflict-affected states. Copyright © Author(s) (or their employer(s)) 2021. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.",2021,,BMJ global health,6,3,,,10.1136/bmjgh-2021-005207,,#265,Adib 2021,"",""
Underdetection of cases of COVID-19 in France threatens epidemic control.,"Pullano, Giulia; Di Domenico, Laura; Sabbatini, Chiara E; Valdano, Eugenio; Turbelin, Clement; Debin, Marion; Guerrisi, Caroline; Kengne-Kuetche, Charly; Souty, Cecile; Hanslik, Thomas; Blanchon, Thierry; Boelle, Pierre-Yves; Figoni, Julie; Vaux, Sophie; Campese, Christine; Bernard-Stoecklin, Sibylle; Colizza, Vittoria","As countries in Europe gradually relaxed lockdown restrictions after the first wave, test-trace-isolate strategies became critical to maintain the incidence of coronavirus disease 2019 (COVID-19) at low levels1,2. Reviewing their shortcomings can provide elements to consider in light of the second wave that is currently underway in Europe. Here we estimate the rate of detection of symptomatic cases of COVID-19 in France after lockdown through the use of virological3 and participatory syndromic4 surveillance data coupled with mathematical transmission models calibrated to regional hospitalizations2. Our findings indicate that around 90,000 symptomatic infections, corresponding to 9 out 10 cases, were not ascertained by the surveillance system in the first 7 weeks after lockdown from 11 May to 28 June 2020, although the test positivity rate did not exceed the 5% recommendation of the World Health Organization (WHO)5. The median detection rate increased from 7% (95% confidence interval, 6-8%) to 38% (35-44%) over time, with large regional variations, owing to a strengthening of the system as well as a decrease in epidemic activity. According to participatory surveillance data, only 31% of individuals with COVID-19-like symptoms consulted a doctor in the study period. This suggests that large numbers of symptomatic cases of COVID-19 did not seek medical advice despite recommendations, as confirmed by serological studies6,7. Encouraging awareness and same-day healthcare-seeking behaviour of suspected cases of COVID-19 is critical to improve detection. However, the capacity of the system remained insufficient even at the low epidemic activity achieved after lockdown, and was predicted to deteriorate rapidly with increasing incidence of COVID-19 cases. Substantially more aggressive, targeted and efficient testing with easier access is required to act as a tool to control the COVID-19 pandemic. The testing strategy will be critical to enable partial lifting of the current restrictive measures in Europe and to avoid a third wave.",2021,,Nature,590,7844,134-139,,10.1038/s41586-020-03095-6,,#268,Pullano 2021,"",""
Human activity pattern implications for modeling SARS-CoV-2 transmission.,"Wang, Yulan; Li, Bernard; Gouripeddi, Ramkiran; Facelli, Julio C","BACKGROUND AND OBJECTIVES: SARS-CoV-2 emerged in December 2019 and rapidly spread into a global pandemic. Designing optimal community responses (social distancing, vaccination) is dependent on the stage of the disease progression, discovery of asymptomatic individuals, changes in virulence of the pathogen, and current levels of herd immunity. Community strategies may have severe and undesirable social and economic side effects. Modeling is the only available scientific approach to develop effective strategies that can minimize these unwanted side effects while retaining the effectiveness of the interventions., METHODS: We extended the agent-based model, SpatioTemporal Human Activity Model (STHAM), for simulating SARS-CoV-2 transmission dynamics., RESULTS: Here we present preliminary STHAM simulation results that reproduce the overall trends observed in the Wasatch Front (Utah, United States of America) for the general population. The results presented here clearly indicate that human activity patterns are important in predicting the rate of infection for different demographic groups in the population., CONCLUSIONS: Future work in pandemic simulations should use empirical human activity data for agent-based techniques. Copyright © 2020. Published by Elsevier B.V.",2021,,Computer methods and programs in biomedicine,199,"doh, 8506513",105896,,10.1016/j.cmpb.2020.105896,,#269,Wang 2021,Nancy Tahmo (2025-05-01 08:36:11)(Select): Acknowledgement section; ,""
"Population health impact, cost-effectiveness, and affordability of community-based HIV treatment and monitoring in South Africa: a health economics modelling study",Sahu M.; Bayer C.J.; Roberts D.A.; van Rooyen H.; van Heerden A.; Shahmanesh M.; Asiimwe S.; Sausi K.; Sithole N.; Ying R.; Rao D.W.; Krows M.L.; Shapiro A.E.; Baeten J.M.; Celum C.; Revill P.; Barnabas R.V.,"Introduction Community-based delivery and monitoring of antiretroviral therapy (ART) for HIV has the potential to increase viral suppression for individual- and population-level health benefits. However, the cost-effectiveness and budget impact are needed for public health policy. Methods and Findings We used a mathematical model of HIV transmission in KwaZulu-Natal, South Africa, to estimate population prevalence, incidence, mortality, and disability-adjusted life-years (DALYs) from 2020 to 2060 for two scenarios: 1) standard clinic-based HIV care and 2) five-yearly home testing campaigns with community ART for people not reached by clinic-based care. We parameterised model scenarios using observed community-based ART efficacy. We evaluated incremental cost-effectiveness and net health benefits using a threshold of $750/DALY averted. Sensitivity analyses varied costs of ART, hospitalisation, and testing. Uncertainty ranges (URs) were estimated across 25 best-fitting parameter sets. By 2060, community ART following home testing averted 27.9% (UR: 24.3-31.5) of incident HIV infections, 27.8% (26.8-28.8) of HIV-related deaths, and 18.7% (17.9-19.7) of DALYs compared to standard of care. Adolescent girls and young women aged 15-24 years experienced the greatest reduction in incident HIV (30.7%, 27.1-34.7). In the first five years (2020-2024), community ART required an additional $44.9 million (35.8-50.1) annually, representing 14.3% (11.4-16.0) of the current HIV budget. The cost per DALY averted was $102 (85-117) for community ART compared with standard of care. Providing six-monthly refills instead of quarterly refills further increased cost-effectiveness to $78.5 per DALY averted (62.9-92.8). Cost-effectiveness was robust to sensitivity analyses. Conclusions In a high-prevalence setting, scale-up of decentralised ART dispensing and monitoring for people not already virally suppressed can provide large population health benefits and is cost-effective in preventing death and disability due to HIV.Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY 4.0 International license.",2022,,medRxiv,,"(Sahu) Department of Health Metrics Sciences, University of Washington, Seattle, WA, United States(Bayer, Krows) Department of Global Health, University of Washington, Seattle, WA, United States(Roberts, Rao, Baeten, Celum) Department of Epidemiology, Uni",,2018694523,10.1101/2022.05.18.22275272,,#315,Sahu 2022,"",""
