Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Vaccinating Children Against COVID-19 is Essential Prior to the Removal of Non-Pharmaceutical Interventions.,"Rosenstrom, Erik; Mele, Jessica; Ivy, Julie; Mayorga, Maria; Patel, Mehul; Lich, Kristen Hassmiller; Delamater, Paul; Smith, Raymond; Swann, Julie L","OBJECTIVESS: To evaluate the joint impact of childhood vaccination rates and masking policies, in schools and workplaces, on community transmission and severe outcomes due to COVID-19., STUDY DESIGN: We utilized a stochastic, agent-based simulation of North Carolina, to evaluate the impact of 24 health policy decisions on overall incidence of disease, COVID-19 related hospitalization, and mortality from July 1, 2021-July 1, 2023., RESULTS: Universal mask removal in schools in January 2022 could lead to a 38.1-47%, 27.6-36.2%, and 15.9-19.7% increase in cumulative infections for ages 5-9, 10-19, and the total population, respectively, depending on the rate of vaccination of children relative to the adult population. Additionally, without increased vaccination uptake in the adult population, a 25% increase in child vaccination uptake from 50% to 75% uptake and from 75% to 100% uptake relative to the adult population, leads to a 22% and 18% or 28% and 33% decrease in peak hospitalizations in 2022 across scenarios when masks are removed either January 1st or March 8th 2022, respectively. Increasing vaccination uptake for the entire eligible population can reduce peak hospitalizations in 2022 by an average of 89% and 92% across all masking scenarios compared to the scenarios where no children are vaccinated., CONCLUSIONS: High vaccination uptake among both children and adults is necessary to mitigate the increase in infections from mask removal in schools and workplaces.",2021,,medRxiv : the preprint server for health sciences,,101767986,,,10.1101/2021.12.08.21267496,,#207,Rosenstrom 2021,"",""
Visualizing the invisible: The effect of asymptomatic transmission on the outbreak dynamics of COVID-19.,"Peirlinck, Mathias; Linka, Kevin; Costabal, Francisco Sahli; Bhattacharya, Jay; Bendavid, Eran; Ioannidis, John P A; Kuhl, Ellen","Understanding the outbreak dynamics of the COVID-19 pandemic has important implications for successful containment and mitigation strategies. Recent studies suggest that the population prevalence of SARS-CoV-2 antibodies, a proxy for the number of asymptomatic cases, could be an order of magnitude larger than expected from the number of reported symptomatic cases. Knowing the precise prevalence and contagiousness of asymptomatic transmission is critical to estimate the overall dimension and pandemic potential of COVID-19. However, at this stage, the effect of the asymptomatic population, its size, and its outbreak dynamics remain largely unknown. Here we use reported symptomatic case data in conjunction with antibody seroprevalence studies, a mathematical epidemiology model, and a Bayesian framework to infer the epidemiological characteristics of COVID-19. Our model computes, in real time, the time-varying contact rate of the outbreak, and projects the temporal evolution and credible intervals of the effective reproduction number and the symptomatic, asymptomatic, and recovered populations. Our study quantifies the sensitivity of the outbreak dynamics of COVID-19 to three parameters: the effective reproduction number, the ratio between the symptomatic and asymptomatic populations, and the infectious periods of both groups For nine distinct locations, our model estimates the fraction of the population that has been infected and recovered by Jun 15, 2020 to 24.15% (95% CI: 20.48%-28.14%) for Heinsberg (NRW, Germany), 2.40% (95% CI: 2.09%-2.76%) for Ada County (ID, USA), 46.19% (95% CI: 45.81%-46.60%) for New York City (NY, USA), 11.26% (95% CI: 7.21%-16.03%) for Santa Clara County (CA, USA), 3.09% (95% CI: 2.27%-4.03%) for Denmark, 12.35% (95% CI: 10.03%-15.18%) for Geneva Canton (Switzerland), 5.24% (95% CI: 4.84%-5.70%) for the Netherlands, 1.53% (95% CI: 0.76%-2.62%) for Rio Grande do Sul (Brazil), and 5.32% (95% CI: 4.77%-5.93%) for Belgium. Our method traces the initial outbreak date in Santa Clara County back to January 20, 2020 (95% CI: December 29, 2019 - February 13, 2020). Our results could significantly change our understanding and management of the COVID-19 pandemic: A large asymptomatic population will make isolation, containment, and tracing of individual cases challenging. Instead, managing community transmission through increasing population awareness, promoting physical distancing, and encouraging behavioral changes could become more relevant.",2020,,medRxiv : the preprint server for health sciences,,101767986,,,10.1101/2020.05.23.20111419,,#208,Peirlinck 2020,"",""
Equitable and effective vaccine access considering vaccine hesitancy and capacity constraints.,"Sengul Orgut, Irem; Freeman, Nickolas; Lewis, Dwight; Parton, Jason","The COVID-19 pandemic continues to have an unprecedented impact on people's lives and the economy worldwide. Vaccines are the strongest evidence-based defense against the spread of the disease. The release of COVID-19 vaccines to the general public created policy challenges associated with how to best allocate vaccines among different sub-regions. In the United States, after vaccines became widely available for all eligible adults, policymakers faced objectives such as (i) achieving an equitable allocation to reduce populations' travel times to get vaccinated and (ii) effectively allocating vaccine doses to minimize waste and unmet need. This problem was further exacerbated by the underlying factors of population vaccine hesitancy and sub-regions' varying capacity levels to administer vaccines to eligible and willing populations. Although simple to implement, commonly used pro rata policies do not capture the complexities of this problem. We propose two alternatives to simple pro rata policies. The first alternative is based on a Mixed-Integer Linear Programming Model that minimizes the maximum travel duration of patients and aims to achieve an equitable and effective allocation of vaccines to sub-regions while considering capacity and vaccine hesitancy. A second alternative is a heuristic approach that may be more palatable for policymakers who (i) are not familiar with mathematical modeling, (ii) are reluctant to use black-box models, and (iii) prefer algorithms that are easy to understand and implement. We demonstrate the results of our model through a case study based on real data from the state of Alabama and show that substantial improvements in travel time-based equity are achievable through capacity improvements in a small subset of counties. We perform additional computational experiments that compare the proposed methods in terms of several metrics and demonstrate the promising performance of our model and proposed heuristic. We find that while our mathematical model can achieve equitable and effective vaccine allocation, the proposed heuristic performs better if the goal is to minimize average travel duration. Finally, we explore two model extensions that aim to (i) lower vaccine hesitancy by allocating vaccines, and (ii) prioritize vaccine access for certain high-risk sub-populations. Copyright © 2023 Elsevier Ltd. All rights reserved.",2023,,Omega,120,9876431,102898,,10.1016/j.omega.2023.102898,,#209,SengulOrgut 2023,"",""
Modelling the impact of health care providers in transmission dynamics of COVID-19.,"Maiga, Kulwa; Hugo, Alfred","In this paper, a mathematical model is proposed and analysed to assess the impacts of health care providers in transmission dynamics of COVID-19. The stability theory of differential equations is used to examine a mathematical model. The results of both local and global stability of disease-free equilibrium points were determined by using Routh-Hurwitz criteria and Metzler matrix method which verified that was locally and globally asymptotically stable. Also, the endemic equilibrium point was determined by the Lyapunov function which showed that E* was globally asymptotically stable under strict conditions. The findings revealed that non-diagnosed and undetected health care providers seems to contribute to high spread of COVID-19 in a community. Also, it illustrates that an increase in the number of non-diagnostic testing rates of health care providers may result in high infection rates in the community and contaminations of hospitals' equipment. Therefore, the particular study recommend that there is a necessity of applying early diagnostic testing to curtail the COVID-19 transmission in the health care providers' community and reduce contaminations of hospital's equipment. Copyright © 2022 The Author(s).",2022,,Results in physics,38,101731363,105552,,10.1016/j.rinp.2022.105552,,#210,Maiga 2022,"",""
The impact of a power law-induced memory effect on the SARS-CoV-2 transmission.,"Sk, Tahajuddin; Biswas, Santosh; Sardar, Tridip","It is well established that COVID-19 incidence data follows some power law growth pattern. Therefore, it is natural to believe that the COVID-19 transmission process follows some power law. However, we found no existing model on COVID-19 with a power law effect only in the disease transmission process. Inevitably, it is not clear how this power law effect in disease transmission can influence multiple COVID-19 waves in a location. In this context, we developed a completely new COVID-19 model where a force of infection function in disease transmission follows some power law. Furthermore, different realistic epidemiological scenarios like imperfect social distancing among home-quarantined individuals, disease awareness, vaccination, treatment, and possible reinfection of the recovered population are also considered in the model. Applying some recent techniques, we showed that the proposed system converted to a COVID-19 model with fractional order disease transmission, where order of the fractional derivative ( alpha ) in the force of infection function represents the memory effect in disease transmission. We studied some mathematical properties of this newly formulated model and determined the basic reproduction number ( R0 ). Furthermore, we estimated several epidemiological parameters of the newly developed fractional order model (including memory index alpha ) by fitting the model to the daily reported COVID-19 cases from Russia, South Africa, UK, and USA, respectively, for the time period March 01, 2020, till December 01, 2021. Variance-based Sobol's global sensitivity analysis technique is used to measure the effect of different important model parameters (including alpha ) on the number of COVID-19 waves in a location ( WC ). Our findings suggest that alpha along with the average transmission rate of the undetected (symptomatic and asymptomatic) cases in the community ( beta1 ) are mainly influencing multiple COVID-19 waves in those four locations. Numerically, we identified the regions in the parameter space of alpha and beta1 for which multiple COVID-19 waves are occurring in those four locations. Furthermore, our findings suggested that increasing memory effect in disease transmission ( alpha -> 0) may decrease the possibility of multiple COVID-19 waves and as well as reduce the severity of disease transmission in those four locations. Based on all the results, we try to identify a few non-pharmaceutical control strategies that may reduce the risk of further SARS-CoV-2 waves in Russia, South Africa, UK, and USA, respectively. Copyright © 2022 Elsevier Ltd. All rights reserved.",2022,,"Chaos, solitons, and fractals",165,100971564,112790,,10.1016/j.chaos.2022.112790,,#212,Sk 2022,"",""
Forecasting the spread of the COVID-19 pandemic in Kenya using SEIR and ARIMA models.,"Kiarie, Joyce; Mwalili, Samuel; Mbogo, Rachel","COVID-19, a coronavirus disease 2019, is an ongoing pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first case in Kenya was identified on March 13, 2020, with the pandemic increasing to about 237,000 confirmed cases and 4,746 deaths by August 2021. We developed an SEIR model forecasting the COVID-19 pandemic in Kenya using an Autoregressive Integrated moving averages (ARIMA) model. The average time difference between the peaks of wave 1 to wave 4 was observed to be about 130 days. The 4th wave was observed to have had the least number of daily cases at the peak. According to the forecasts made for the next 60 days, the pandemic is expected to continue for a while. The 4th wave peaked on August 26, 2021 (498th day). By October 26, 2021 (60th day), the average number of daily infections will be 454 new cases and 40 severe cases, which would require hospitalization, and 16 critically ill cases requiring intensive care unit services. The findings of this study are key in developing informed mitigation strategies to ensure that the pandemic is contained and inform the preparedness of policymakers and health care workers. Copyright © 2022 The Authors.",2022,,Infectious Disease Modelling,7,2,179-188,,10.1016/j.idm.2022.05.001,,#213,Kiarie 2022,"",""
Effect of vaccinations and school restrictions on the spread of COVID-19 in different age groups in Germany.,"Dings, Christiane; Selzer, Dominik; Bragazzi, Nicola Luigi; Mohler, Eva; Wenning, Markus; Gehrke, Thomas; Richter, Ulf; Nonnenmacher, Alexandra; Brinkmann, Folke; Rothoeft, Tobias; Zemlin, Michael; Lucke, Thomas; Lehr, Thorsten","With the emergence of SARS-CoV-2, various non-pharmaceutical interventions were adopted to control virus transmission, including school closures. Subsequently, the introduction of vaccines mitigated not only disease severity but also the spread of SARS-CoV-2. This study leveraged an adapted SIR model and non-linear mixed-effects modeling to quantify the impact of remote learning, school holidays, the emergence of Variants of Concern (VOCs), and the role of vaccinations in controlling SARS-CoV-2 spread across 16 German federal states with an age-stratified approach. Findings highlight a significant inverse correlation (Spearman's rho = -0.92, p < 0.001) between vaccination rates and peak incidence rates across all age groups. Model-parameter estimation using the observed number of cases stratified by federal state and age allowed to assess the effects of school closure and holidays, considering adjustments for vaccinations and spread of VOCs over time. Here, modeling revealed significant (p < 0.001) differences in the virus's spread among pre-school children (0-4), children (5-11), adolescents (12-17), adults (18-59), and the elderly (60+). The transition to remote learning emerged as a critical measure in significantly reducing infection rates among children and adolescents (p < 0.001), whereas an increased infection risk was noted among the elderly during these periods, suggesting a shift in infection networks due to altered caregiving roles. Conversely, during school holiday periods, infection rates among adolescents mirrored those observed when schools were open. Simulation exercises based on the model provided evidence that COVID-19 vaccinations might serve a dual purpose: they protect the vaccinated individuals and contribute to the broader community's safety. Copyright © 2024 The Authors.",2024,,Infectious Disease Modelling,9,4,1250-1264,,10.1016/j.idm.2024.07.004,,#214,Dings 2024,"",""
Incorporation of near-real-time hospital occupancy data to improve hospitalization forecast accuracy during the COVID-19 pandemic.,"Preiss, Alexander; Hadley, Emily; Jones, Kasey; Stoner, Marie C D; Kery, Caroline; Baumgartner, Peter; Bobashev, Georgiy; Tenenbaum, Jessica; Carter, Charles; Clement, Kimberly; Rhea, Sarah","Public health decision makers rely on hospitalization forecasts to inform COVID-19 pandemic planning and resource allocation. Hospitalization forecasts are most relevant when they are accurate, made available quickly, and updated frequently. We rapidly adapted an agent-based model (ABM) to provide weekly 30-day hospitalization forecasts (i.e., demand for intensive care unit [ICU] beds and non-ICU beds) by state and region in North Carolina for public health decision makers. The ABM was based on a synthetic population of North Carolina residents and included movement of agents (i.e., patients) among North Carolina hospitals, nursing homes, and the community. We assigned SARS-CoV-2 infection to agents using county-level compartmental models and determined agents' COVID-19 severity and probability of hospitalization using synthetic population characteristics (e.g., age, comorbidities). We generated weekly 30-day hospitalization forecasts during May-December 2020 and evaluated the impact of major model updates on statewide forecast accuracy under a SARS-CoV-2 effective reproduction number range of 1.0-1.2. Of the 21 forecasts included in the assessment, the average mean absolute percentage error (MAPE) was 7.8% for non-ICU beds and 23.6% for ICU beds. Among the major model updates, integration of near-real-time hospital occupancy data into the model had the largest impact on improving forecast accuracy, reducing the average MAPE for non-ICU beds from 6.6% to 3.9% and for ICU beds from 33.4% to 6.5%. Our results suggest that future pandemic hospitalization forecasting efforts should prioritize early inclusion of hospital occupancy data to maximize accuracy. Copyright © 2022 The Authors.",2022,,Infectious Disease Modelling,7,1,277-285,,10.1016/j.idm.2022.01.003,,#215,Preiss 2022,"",""
Potential for eliminating COVID-19 in Thailand through third-dose vaccination: A modeling approach.,"Kreabkhontho, Pannathon; Teparos, Watchara; Theparod, Thitiya","The COVID-19 pandemic continues to pose significant challenges to global public health, necessitating the development of effective vaccination strategies to mitigate disease transmission. In Thailand, the COVID-19 epidemic has undergone multiple waves, prompting the implementation of various control measures, including vaccination campaigns. Understanding the dynamics of disease transmission and the impact of vaccination strategies is crucial for guiding public health interventions and optimizing epidemic control efforts. In this study, we developed a comprehensive mathematical model, termed $ S{S}_{v}I{H}_{1}C{H}_{2}RD $, to elucidate the dynamics of the COVID-19 epidemic in Thailand. The model incorporates key epidemiological parameters, vaccination rates, and disease progression stages to assess the effectiveness of different vaccination strategies in curbing disease transmission. Parameter estimation and model fitting were conducted using real-world data from COVID-19 patients in Thailand, enabling the simulation of epidemic scenarios and the exploration of optimal vaccination rates. Our results showed that optimizing vaccination strategies, particularly by administering approximately 119,625 doses per day, can significantly reduce the basic reproduction number ($ {R}_{0} $) below 1, thereby accelerating epidemic control. Simulation results demonstrated that the optimal vaccination rate led to a substantial decrease in the number of infections, with the epidemic projected to be completely eradicated from the population by June 19, 2022. These findings underscore the importance of targeted vaccination efforts and proactive public health interventions in mitigating the spread of COVID-19 and minimizing the burden on healthcare systems. Our study provides valuable insights into the optimization of vaccination strategies for epidemic control, offering guidance for policymakers and healthcare authorities in Thailand and beyond. By leveraging mathematical modeling techniques and real-world data, stakeholders can develop evidence-based strategies to combat the COVID-19 pandemic and safeguard public health.",2024,,Mathematical biosciences and engineering : MBE,21,8,6807-6828,,10.3934/mbe.2024298,,#216,Kreabkhontho 2024,"",""
"Revisiting the impact of Schistosoma mansoni regulating mechanisms on transmission dynamics using SchiSTOP, a novel modelling framework.","Malizia, Veronica; de Vlas, Sake J; Roes, Kit C B; Giardina, Federica","BACKGROUND: The transmission cycle of Schistosoma is remarkably complex, including sexual reproduction in human hosts and asexual reproduction in the intermediate host (freshwater snails). Patterns of rapid recrudescence after treatment and stable low transmission are often observed, hampering the achievement of control targets. Current mathematical models commonly assume regulation of transmission to occur at worm level through density-dependent egg production. However, conclusive evidence on this regulating mechanism is weak, especially for S. mansoni. In this study, we explore the interplay of different regulating mechanisms and their ability to explain observed patterns in S. mansoni epidemiology., METHODOLOGY/PRINCIPAL FINDINGS: We developed SchiSTOP: a hybrid stochastic agent-based and deterministic modelling framework for S. mansoni transmission in an age-structured human population. We implemented different models with regulating mechanisms at: i) worm-level (density-dependent egg production), ii) human-level (anti-reinfection immunity), and iii) snail-level (density-dependent snail dynamics). Additionally, we considered two functional choices for the age-specific relative exposure to infection. We assessed the ability of each model to reproduce observed epidemiological patterns pre- and post-control, and compared successful models in their predictions of the impact of school-based and community-wide treatment. Simulations confirmed that assuming at least one regulating mechanism is required to reproduce a stable endemic equilibrium. Snail-level regulation was necessary to explain stable low transmission, while models combining snail- and human-level regulation with an age-exposure function informed with water contact data were successful in reproducing a rapid rebound after treatment. However, the predicted probability of reaching the control targets varied largely across models., CONCLUSIONS/SIGNIFICANCE: The choice of regulating mechanisms in schistosomiasis modelling largely determines the expected impact of control interventions. Overall, this work suggests that reaching the control targets solely through mass drug administration may be more challenging than currently thought. We highlight the importance of regulating mechanisms to be included in transmission models used for policy. Copyright: © 2024 Malizia et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2024,,PLoS neglected tropical diseases,18,9,e0012464,,10.1371/journal.pntd.0012464,,#217,Malizia 2024,"",""
