Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
A geometric approach to the impact of immigration of people infected with communicable diseases.,"Guarello, Sofia; Gonzalez, Nicolas; Flores, Isabel; Aguirre, Pablo","We construct a set of new epidemiological thresholds to address the general problem of spreading and containment of a transmissible disease with influx of infected individuals (i.e., when the classic R0 is no longer meaningful). We provide analytical properties of these indices and illustrate their usefulness in a compartmental model of COVID-19 with data taken from Chile showing a good predictive potential when contrasted with the recorded disease behavior. This geometric approach and the associated analytical and numerical results break new ground in that they allow us to quantify the severity of an immigration of infectious individuals into a community, and identification of the key parameters that are capable of changing or reversing the spread of an infectious disease in specific models. Copyright © 2024 Elsevier Inc. All rights reserved.",2024,/,Mathematical biosciences,378,"bet, 0103146",109320,,https://dx.doi.org/10.1016/j.mbs.2024.109320,39447636,#4,Guarello 2024,"",""
"Improving racial/ethnic health equity and naloxone access among people at risk for opioid overdose: A simulation modeling analysis of community-based naloxone distribution strategies in Massachusetts, United States.","Zang, Xiao; Skinner, Alexandra; Li, Zongbo; Shaw, Leah C; Behrends, Czarina N; Chatterjee, Avik; Jalali, Ali; Jordan, Ashly E; Morgan, Jake R; Nolen, Shayla; Schackman, Bruce R; Marshall, Brandon D L; Walley, Alexander Y","BACKGROUND AND AIMS: During the COVID-19 pandemic, there was a surge in opioid overdose deaths (OODs) in Massachusetts, USA, particularly among Black and Hispanic/Latinx populations. Despite the increasing racial and ethnic disparities in OODs, there was no compensatory increase in naloxone distributed to these groups. We aimed to evaluate two community-based naloxone expansion strategies, with the objective of identifying approaches that could mitigate mortality and racial and ethnic disparities in OODs., DESIGN: Individual-based simulation model. We measured naloxone availability using naloxone kits per OOD and evaluated scenarios of achieving higher benchmarks for naloxone availability (i.e. 40, 60 and 80 kits per OOD) from 2022 levels (overall: 26.0, White: 28.8, Black: 17.3, Hispanic/Latinx: 18.9). We compared two naloxone distribution strategies: (1) proportional distribution: achieving the benchmark ratio at the overall population level while distributing additional kits proportional to the 2022 level for each racial/ethnic group (at 40 kits per OOD benchmark: overall: 40, White: 44.3, Black: 26.6, Hispanic/Latinx: 29.1), and (2) equity-focused distribution: achieving the benchmark ratio among each racial/ethnic group (at 40 kits per OOD benchmark: 40 for all groups)., SETTING: Massachusetts, United States., PARTICIPANTS: People at risk of OOD., MEASUREMENTS: Annual number and rate of OODs, total healthcare costs of increasing naloxone availability., FINDINGS: Both naloxone distribution strategies yielded comparable predicted reductions in total OODs in 2025 and incurred similar incremental costs. However, the relative reduction in the rate of OODs differed across groups. For achieving an 80 kits per OOD benchmark, proportional distribution resulted in a projected 6.7%, 6.5% and 7.1% reduction in annual OODs in 2025 among White, Black and Hispanic/Latinx populations, respectively. In contrast, equity-focused distribution achieved a reduction of 5.7%, 11.3% and 10.2% in the respective groups. In all scenarios, the cost per OOD averted was lower than the generally accepted thresholds for cost per life saved., CONCLUSIONS: An equity-focused naloxone distribution strategy designed to reduce racial and ethnic disparities in naloxone availability could improve health equity among racial and ethnic groups while potentially improving overall population health at lower healthcare costs per opioid overdose death averted than a proportional distribution strategy. Copyright © 2024 The Author(s). Addiction published by John Wiley & Sons Ltd on behalf of Society for the Study of Addiction.",2024,/,"Addiction (Abingdon, England)",,"bm3, 9304118",,,https://dx.doi.org/10.1111/add.16691,39450522,#6,Zang 2024,"",Possible RCT
COVID Just-in-Time Extension for Community Health Outcomes: A Collaborative Information-Sharing Platform for a School Health Community.,"Chopra, Priya; Chiappone, Alethea; Goldenstein, Susan; Pilonetti, Therese; Gillis, Roberta; Dodson, Daniel; Tan, Shuyuan; Thomas, John F; Cataldi, Jessica R","The COVID-19 pandemic challenged school health professionals to navigate a dynamic public health emergency and to stay aware of changing recommendations. This study aimed to determine the value of the COVID Just-in-Time ECHO (Extension for Community Health Outcomes) Learning Series for Schools among participating school health personnel and to describe their ongoing information needs during the pandemic. School health, public health, and education professionals across Colorado participated in this ECHO series. Participants attended 1-hour sessions every 2 to 4 weeks from March 2020 through December 2021 for a total of 34 sessions. Data collection included postsession and postseries surveys assessing what participants found most valuable and what additional information they needed. School nurses represented 113 of 224 participants (50%). ECHO content noted as being the most valuable included epidemiology updates and special topics as chosen by participant input. Postseries surveys identified the value of experiencing shared knowledge among Just-in-Time ECHO participants. Participants identified ongoing needs for information about COVID-19 guidance and risk mitigation in schools throughout the sessions. In postseries surveys, participants reported additional ongoing information needs related to COVID-19 outside schools. This ECHO series delivered reliable and time-sensitive information for school health personnel and school leaders and may provide a useful model for information sharing among education and public health professionals.",2024,/,"Public health reports (Washington, D.C. : 1974)",,"9716844, qja",333549241283173,,https://dx.doi.org/10.1177/00333549241283173,39370776,#12,Chopra 2024,"",""
"A Stochastic Mobility-Driven Spatially Explicit SEIQRD covid-19 Model with VOCs, Seasonality, and Vaccines.","Alleman, Tijs W; Rollier, Michiel; Vergeynst, Jenna; Baetens, Jan M","In this work, we extend our previously developed compartmental SEIQRD model for sars-cov-2 in Belgium. We introduce sars-cov-2 variants of concern, vaccines, and seasonality in our model, as their addition has proven necessary for modelling sars-cov-2 transmission dynamics during the 2020-2021 covid-19 pandemic in Belgium. The model is geographically stratified into eleven spatial patches (provinces), and a telecommunication dataset provided by Belgium's biggest operator is used to incorporate interprovincial mobility. We calibrate the model using the daily number of hospitalisations in each province and serological data. We find the model adequately describes these data, but the addition of interprovincial mobility was not necessary to obtain an accurate description of the 2020-2021 sars-cov-2 pandemic in Belgium. We further demonstrate how our model can be used to help policymakers decide on the optimal timing of the release of social restrictions. We find that adding spatial heterogeneity by geographically stratifying the model results in more uncertain model projections as compared to an equivalent nation-level model, which has both communicative advantages and disadvantages. We finally discuss the impact of imposing local mobility or social contact restrictions to contain an epidemic in a given province and find that lowering social contact is a more effective strategy than lowering mobility. Copyright © 2023 Elsevier Inc. All rights reserved.",2023,/,Applied mathematical modelling,,100971316,,,https://dx.doi.org/10.1016/j.apm.2023.06.027,38620163,#19,Alleman 2023,"",""
Estimating community-wide indirect effects of influenza vaccination: triangulation using mathematical models and bias analysis.,"Arinaminpathy, Nimalan; Reed, Carrie; Biggerstaff, Matthew; Nguyen, Anna T; Athni, Tejas S; Arnold, Benjamin F; Hubbard, Alan; Reingold, Art; Benjamin-Chung, Jade","Understanding whether influenza vaccine promotion strategies produce community-wide indirect effects is important for establishing vaccine coverage targets and optimizing vaccine delivery. Empirical epidemiologic studies and mathematical models have been used to estimate indirect effects of vaccines but rarely for the same estimand in the same dataset. Using these approaches together could be a powerful tool for triangulation in infectious disease epidemiology because each approach is subject to distinct sources of bias. We triangulated evidence about indirect effects from a school-located influenza vaccination program using two approaches: a difference-in-difference (DID) analysis, and an age-structured, deterministic, compartmental model. The estimated indirect effect was substantially lower in the mathematical model than in the DID analysis (2.1% (95% Bayesian credible intervals 0.4 - 4.4%) vs. 22.3% (95% CI 7.6% - 37.1%)). To explore reasons for differing estimates, we used sensitivity analyses and probabilistic bias analyses. When we constrained model parameters such that projections matched the DID analysis, results only aligned with the DID analysis with substantially lower pre-existing immunity among school-age children and older adults. Conversely, DID estimates corrected for potential bias only aligned with mathematical model estimates under differential outcome misclassification. We discuss how triangulation using empirical and mathematical modelling approaches could strengthen future studies. Copyright © The Author(s) 2024. Published by Oxford University Press on behalf of the Johns Hopkins Bloomberg School of Public Health.",2024,/,American journal of epidemiology,,"3h3, 7910653",,,https://dx.doi.org/10.1093/aje/kwae365,39290087,#21,Arinaminpathy 2024,"",""
"Calibration and Comparison of SIR, SEIR/SLIR, and SLAIR Models for Influenza Dynamics: Insights from the 2016-2017 Season in the Valencian Community, Spain.","Adenane, Rim; Andreu-Vilarroig, Carlos; Avram, Florin; Villanueva, Rafael-Jacinto","Influenza and influenza-like illnesses (ILI) pose significant challenges to healthcare systems globally. Mathematical models play a crucial role in understanding their dynamics, calibrating them to specific scenarios, and making projections about their evolution over time. This study proposes a calibration process for three different but well-known compartmental models - SIR, SEIR/SLIR, and SLAIR - using influenza data from the 2016-2017 season in the Valencian Community, Spain. The calibration process involves indirect calibration for the SIR and SLIR models, requiring post-processing to compare model output with data, while the SLAIR model is directly calibrated through direct comparison. Our calibration results demonstrate remarkable consistency between the SIR and SLIR models, with slight variations observed in the SLAIR model due to its unique design and calibration strategy. Importantly, all models align with existing evidence and intuitions found in the medical literature. Our findings suggest that at the onset of the epidemiological season, a significant proportion of the population (ranging from 29.08% to 43.75% of the total population) may have already entered the recovered state, likely due to immunization from the previous season. Additionally, we estimate that the percentage of infected individuals seeking healthcare services ranges from 5.7% to 12.2%. Through a well-founded and calibrated modeling approach, our study contributes to supporting, settling, and quantifying current medical issues despite the inherent uncertainties involved in influenza dynamics. The full Mathematica code can be downloaded from https://munqu.webs.upv.es/software.html. Copyright © The Author(s) 2024. Published by Oxford University Press on behalf of the Institute of Mathematics and its Applications. All rights reserved.",2024,/,Mathematical medicine and biology : a journal of the IMA,,101182345,,,https://dx.doi.org/10.1093/imammb/dqae015,39287211,#22,Adenane 2024,"",""
The impact of household size on measles transmission: A long-term perspective.,"Bidari, Subekshya; Yang, Wan","Households play an important role in the transmission of infectious diseases due to the close contact therein. Previous modeling studies on disease transmission with household-level mixing have explored the relationship between household size distribution and epidemic characteristics such as final epidemic sizes and the basic reproduction number but have not considered the epidemic impact of declining household sizes caused by demographic shifts. Here, we use a disease transmission model that incorporates demographic changes in household sizes to study the long-term transmission dynamics of measles in communities with varying household size distributions. We explore the impact of incorporating both household- and age-structured mixing on the dynamic properties of the transmission model and compare these dynamics across different household size distributions. Our analysis, based on the household- and age-structured model, shows that communities with larger household sizes require higher vaccination thresholds and bear a greater burden of infections. However, simulations show the apparent impact of changing household sizes is the combined result of changing birth rates and household mixing, and that changing birth rates likely play a larger role than changes in household mixing in shaping measles transmission dynamics (n.b, life-long immunity makes replenishment of population susceptibility from births a crucial transmission driver for measles). In addition, simulations of endemic transmission of measles within a hypothetical population formulated using aggregated world demographic data suggest the decline in household size (driven by changing fertility rates of the population), in addition to increasing vaccination coverage, could have had a significant impact on the incidence of measles over time. Copyright © 2024 The Author(s). Published by Elsevier B.V. All rights reserved.",2024,/,Epidemics,49,101484711,100791,,https://dx.doi.org/10.1016/j.epidem.2024.100791,39276494,#24,Bidari 2024,"",""
Managing two-dose COVID-19 vaccine rollouts with limited supply: Operations strategies for distributing time-sensitive resources.,"Mak, Ho-Yin; Dai, Tinglong; Tang, Christopher S","Distributing scarce resources such as COVID-19 vaccines is often a highly time-sensitive and mission-critical operation. Our research was prompted by a significant obstacle that the United States and other nations encountered during the early months of the COVID-19 vaccination campaign: Most COVID-19 vaccines require two doses given 3 or 4 weeks apart. Given the severely limited supply and mounting pressure on many countries to reduce hospitalizations and mortality, how to effectively roll out two-dose vaccines was a critical policy decision. In this paper, we first model and analyze inventory dynamics of the rollout process under three rollout strategies: (1) holding back second doses, (2) releasing second doses, and (3) stretching the lead time between doses. Then we develop an SEIR (susceptible, exposed, infectious, recovered) model that incorporates COVID-19 asymptomatic and symptomatic infections to evaluate these strategies in terms of infections, hospitalizations, and mortality. Among our findings, we show releasing second doses reduces infections but creates uneven vaccination patterns. In addition, to ensure second doses are given on time without holding back inventory, strictly less than half of the supply can be allocated to first-dose appointments. Stretching the between-dose lead time flattens the infection curve and reduces both hospitalizations and mortality compared with the strategy of releasing second doses. We also consider an alternative single-dose vaccine with lower efficacy and show that the vaccine can be more effective than its two-dose counterparts in reducing infections and mortality. We conduct extensive sensitivity analyses related to age composition, risk-based prioritization, supply disruptions, and disease transmissibility. Our paper provides important implications for policymakers to develop effective vaccine rollout strategies in developed and developing countries alike. More broadly, our paper sheds light on how to develop effective operations strategies for distributing time-sensitive resources in times of crisis. Copyright © 2022 Production and Operations Management Society.",2022,/,Production and operations management,,101734130,,,https://dx.doi.org/10.1111/poms.13862,36246547,#31,Mak 2022,"",""
Epidemic trend analysis of SARS-CoV-2 in South Asian Association for Regional Cooperation countries using modified susceptible-infected-recovered predictive model.,"Dey, Samrat Kumar; Rahman, Md Mahbubur; Shibly, Kabid Hassan; Siddiqi, Umme Raihan; Howlader, Arpita","A novel coronavirus causing the severe and fatal respiratory syndrome was identified in China, is now producing outbreaks in more than 200 countries around the world, and became pandemic by the time. In this article, a modified version of the well-known mathematical epidemic model susceptible-infected-recovered (SIR) is used to analyze the epidemic's course of COVID-19 in eight different countries of the South Asian Association for Regional Cooperation (SAARC). To achieve this goal, the parameters of the SIR model are identified by using publicly available data for the corresponding countries: Afghanistan, Bangladesh, Bhutan, India, the Maldives, Nepal, Pakistan, and Sri Lanka. Based on the prediction model, we estimated the epidemic trend of COVID-19 outbreak in SAARC countries for 20, 90, and 180 days, respectively. A short-mid-long term prediction model has been designed to understand the early dynamics of the COVID-19 epidemic in the southeast Asian region. The maximum and minimum basic reproduction numbers (R 0 = 1.33 and 1.07) for SAARC countries are predicted to be in Pakistan and Bhutan. We equate simulation results with real data in the SAARC countries on the COVID-19 outbreak, and predicted different scenarios using the modified SIR prediction model. Our results should provide policymakers with a method for evaluating the impacts of possible interventions, including lockdown and social distancing, as well as testing and contact tracking. Copyright © 2022 The Authors. Engineering Reports published by John Wiley & Sons Ltd.",2022,/,Engineering reports : open access,,101769939,e12550,,https://dx.doi.org/10.1002/eng2.12550,35941912,#35,Dey 2022,"",""
Qualitative system dynamics modelling to support the design and implementation of tuberculosis infection prevention and control measures in South African primary health care facilities.,"Diaconu, Karin; Karat, Aaron; Bozzani, Fiametta; McCreesh, Nicky; Falconer, Jennifer; Voce, Anna; Vassall, Anna; Grant, Alison D; Kielmann, Karina","Tuberculosis infection prevention and control (TB IPC) measures are a cornerstone of policy, but measures are diverse and variably implemented. Limited attention has been paid to the health system environment which influences successful implementation of these measures. We used qualitative system dynamics and group-model-building methods 1) develop a qualitative causal map of the interlinked drivers of Mycobacterium tuberculosis (Mtb) transmission in South African primary health care facilities which in turn, helped us to 2) identify plausible IPC interventions to reduce risk of transmission. Two one-day participatory workshops were held in 2019 with policy- and decision-makers at national and provincial level, and patient advocates and health professionals at clinic and district level. Causal loop diagrams were generated by participants and combined by investigators. The research team reviewed diagrams to identify the drivers of nosocomial transmission of Mtb in primary health care facilities. Interventions proposed by participants were mapped onto diagrams to identify anticipated mechanisms of action and effect. Three systemic drivers were identified: 1) Mtb nosocomial transmission is driven by bottlenecks in patient flow at given times; 2) IPC implementation and clinic processes are anchored within a staff ""culture of nominal compliance""; and 3) limited systems-learning at policy level inhibits effective clinic management and IPC implementation. Interventions prioritised by workshop participants included infrastructural, organisational, and behavioural strategies that target three areas: 1) improve air quality; 2) improve use of personal protective equipment; and 3) reduce the number of individuals in the clinic. In addition to core mechanisms, participants elaborated specific additional enablers that would help sustain implementation. Qualitative system dynamics modelling (SDM) methods allowed us to capture stakeholder views and potential solutions to address the problem of sub-optimal TB IPC implementation. The participatory elements of SDM facilitated problem-solving and inclusion of multiple factors frequently neglected when considering implementation. Copyright © The Author(s) 2024. Published by Oxford University Press in association with The London School of Hygiene and Tropical Medicine.",2024,/,Health policy and planning,,"8610614, f9q",,,https://dx.doi.org/10.1093/heapol/czae084,39215970,#36,Diaconu 2024,"",""
